
> lint@1.2.0 lint:spell
> cspell -c ${LINTER_PATH}.cspell.json './src/**/*.{js,ts}'
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:18:41 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:18:59 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:19:39 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:22:14 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:23:17 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:59:16 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:104:58 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-intro/bitpay-card-intro.ts:10:62 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-intro/bitpay-card-intro.ts:10:77 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-intro/bitpay-card-intro.ts:11:59 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-intro/bitpay-card-intro.ts:11:71 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-intro/bitpay-card-intro.ts:17:36 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:9:68 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:9:83 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:10:65 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:10:77 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:60:19 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:77:14 - Unknown word (Waitlist)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:141:16 - Unknown word (Waitlist)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:9:36 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:14:59 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:14:71 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:15:55 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:15:62 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:68:11 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:114:10 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:114:44 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:458:38 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card.ts:10:56 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card.ts:10:68 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card.ts:11:52 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card.ts:11:59 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card.ts:24:19 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-settings/bitpay-settings.ts:8:62 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-settings/bitpay-settings.ts:8:77 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-settings/bitpay-settings.ts:9:59 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-settings/bitpay-settings.ts:9:71 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-settings/bitpay-settings.ts:16:19 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/card-catalog/card-catalog.ts:179:37 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/card-catalog/card-catalog.ts:183:37 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/card-details/card-details.ts:155:39 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/card-details/card-details.ts:160:39 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/card-details/printable-card/printable-card.ts:20:7 - Unknown word (crossorigin)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/confirm-card-purchase/confirm-card-purchase.ts:142:13 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/confirm-card-purchase/confirm-card-purchase.ts:258:39 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/confirm-card-purchase/confirm-card-purchase.ts:267:39 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/confirm-card-purchase/confirm-card-purchase.ts:406:14 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/confirm-card-purchase/confirm-card-purchase.ts:464:19 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/confirm-card-purchase/confirm-card-purchase.ts:511:28 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/confirm-card-purchase/confirm-card-purchase.ts:938:10 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/gift-cards-settings/gift-cards-settings.ts:30:8 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/gift-cards-settings/gift-cards-settings.ts:44:49 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/gift-cards/gift-cards-settings/gift-cards-settings.ts:46:26 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/wallet-connect/wallet-connect.ts:144:33 - Unknown word (disconected)
/mnt/disk273/doc/coding/linters-article/src/pages/pages.ts:4:10 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/pages.ts:4:44 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/pages.ts:4:53 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/pages.ts:69:55 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/pages.ts:69:67 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/pages.ts:70:55 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/pages.ts:70:67 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/pages.ts:70:84 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/pages.ts:190:3 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/paper-wallet/paper-wallet.ts:47:11 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/paper-wallet/paper-wallet.ts:69:10 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/paper-wallet/paper-wallet.ts:69:40 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/paper-wallet/paper-wallet.ts:169:16 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/scan/scan.ts:259:18 - Unknown word (Parms)
/mnt/disk273/doc/coding/linters-article/src/pages/scan/scan.ts:263:54 - Unknown word (Parms)
/mnt/disk273/doc/coding/linters-article/src/pages/scan/scan.ts:266:18 - Unknown word (Parms)
/mnt/disk273/doc/coding/linters-article/src/pages/scan/scan.ts:267:54 - Unknown word (Parms)
/mnt/disk273/doc/coding/linters-article/src/pages/send/amount/amount.ts:35:57 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/send/amount/amount.ts:35:69 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/send/amount/amount.ts:35:87 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/send/amount/amount.ts:460:30 - Unknown word (Bitpaycard)
/mnt/disk273/doc/coding/linters-article/src/pages/send/amount/amount.ts:469:28 - Unknown word (Bitpaycard)
/mnt/disk273/doc/coding/linters-article/src/pages/send/amount/amount.ts:474:25 - Unknown word (Bitpaycard)
/mnt/disk273/doc/coding/linters-article/src/pages/send/confirm/confirm.ts:60:13 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/confirm/confirm.ts:168:10 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/confirm/confirm.ts:168:44 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/confirm/confirm.ts:304:32 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/confirm/confirm.ts:1059:40 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/confirm/confirm.ts:1324:39 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/send/multi-send/multi-send.ts:34:10 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/multi-send/multi-send.ts:80:10 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/multi-send/multi-send.ts:81:32 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/multi-send/multi-send.ts:82:32 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/multi-send/multi-send.ts:83:33 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/multi-send/multi-send.ts:84:32 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/multi-send/multi-send.ts:195:18 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/multi-send/multi-send.ts:196:25 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/select-inputs/select-inputs.ts:39:10 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/select-inputs/select-inputs.ts:78:10 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/select-inputs/select-inputs.ts:79:32 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/select-inputs/select-inputs.ts:80:32 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/select-inputs/select-inputs.ts:81:33 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/select-inputs/select-inputs.ts:82:32 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/select-inputs/select-inputs.ts:177:18 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/select-inputs/select-inputs.ts:178:25 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.spec.ts:222:12 - Unknown word (bitcoincash)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.spec.ts:262:12 - Unknown word (bitcoincash)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.spec.ts:426:12 - Unknown word (bitcoincash)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.spec.ts:466:12 - Unknown word (bitcoincash)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.spec.ts:568:12 - Unknown word (bitcoincash)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.ts:24:10 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.ts:24:38 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.ts:24:47 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.ts:27:54 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.ts:27:66 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.ts:27:84 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/send/send.ts:72:5 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/about/about.ts:38:13 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/about/about.ts:107:14 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/bitpay-id/bitpay-id.ts:15:19 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/bitpay-id/bitpay-id.ts:16:17 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/bitpay-id/bitpay-id.ts:22:18 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/bitpay-id/bitpay-id.ts:23:10 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/bitpay-id/bitpay-id.ts:45:10 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/bitpay-id/bitpay-id.ts:48:18 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/bitpay-id/bitpay-id.ts:48:57 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/bitpay-id/bitpay-id.ts:54:20 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/notifications/notifications.ts:148:49 - Unknown word (offersandpromotions)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/settings.ts:13:53 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/settings.ts:13:65 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/settings.ts:34:53 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/settings.ts:34:65 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/settings/settings.ts:34:81 - Unknown word (bitpay)
